Date,TemperatureData
2022-01-01,-25
2022-01-02,-24
2022-01-03,-26
2022-01-04,-27
2022-01-05,-29
2022-01-06,-28
2022-01-07,-26
2022-01-08,-24
2022-01-09,-25
2022-01-10,-26
2022-01-11,-24
2022-01-12,-23
2022-01-13,-24
2022-01-14,-26
2022-01-15,-28
2022-01-16,-29
2022-01-17,-10
2022-01-18,-12
2022-01-19,-14
2022-01-20,-15
2022-01-21,-16
2022-01-22,-15
2022-01-23,-13
2022-01-24,-12
2022-01-25,-10
2022-01-26,-19
2022-01-27,-18
2022-01-28,-17
2022-01-29,-18
2022-01-30,-10
2022-01-31,-11
2022-02-01,-19
2022-02-02,-17
2022-02-03,-15
2022-02-04,-13
2022-02-05,-11
2022-02-06,-10
2022-02-07,-12
2022-02-08,-14
2022-02-09,-16
2022-02-10,-18
2022-02-11,-19
2022-02-12,-11
2022-02-13,-12
2022-02-14,-7
2022-02-15,-6
2022-02-16,-8
2022-02-17,-9
2022-02-18,-1
2022-02-19,-3
2022-02-20,-5
2022-02-21,-6
2022-02-22,-8
2022-02-23,-9
2022-02-24,0
2022-02-25,2
2022-02-26,4
2022-02-27,5
2022-02-28,6
2022-03-01,4
2022-03-02,2
2022-03-03,0
2022-03-04,8
2022-03-05,6
2022-03-06,4
2022-03-07,2
2022-03-08,0
2022-03-09,8
2022-03-10,7
2022-03-11,5
2022-03-12,4
2022-03-13,3
2022-03-14,1
2022-03-15,0
2022-03-16,9
2022-03-17,8
2022-03-18,7
2022-03-19,8
2022-03-20,10
2022-03-21,12
2022-03-22,13
2022-03-23,12
2022-03-24,13
2022-03-25,11
2022-03-26,9
2022-03-27,10
2022-03-28,11
2022-03-29,12
2022-03-30,14
2022-03-31,15
2022-04-01,10
2022-04-02,8
2022-04-03,11
2022-04-04,12
2022-04-05,13
2022-04-06,14
2022-04-07,11
2022-04-08,16
2022-04-09,17
2022-04-10,12
2022-04-11,14
2022-04-12,16
2022-04-13,15
2022-04-14,14
2022-04-15,13
2022-04-16,12
2022-04-17,11
2022-04-18,10
2022-04-19,16
2022-04-20,18
2022-04-21,17
2022-04-22,16
2022-04-23,15
2022-04-24,17
2022-04-25,18
2022-04-26,12
2022-04-27,11
2022-04-28,12
2022-04-29,19
2022-04-30,18
2022-05-01,10
2022-05-02,12
2022-05-03,14
2022-05-04,16
2022-05-05,18
2022-05-06,20
2022-05-07,14
2022-05-08,18
2022-05-09,16
2022-05-10,18
2022-05-11,16
2022-05-12,14
2022-05-13,12
2022-05-14,18
2022-05-15,18
2022-05-16,16
2022-05-17,14
2022-05-18,12
2022-05-19,10
2022-05-20,18
2022-05-21,16
2022-05-22,14
2022-05-23,12
2022-05-24,10
2022-05-25,19
2022-05-26,17
2022-05-27,16
2022-05-28,14
2022-05-29,13
2022-05-30,12
2022-05-31,20
2022-06-01,12
2022-06-02,14
2022-06-03,16
2022-06-04,18
2022-06-05,20
2022-06-06,22
2022-06-07,24
2022-06-08,26
2022-06-09,28
2022-06-10,20
2022-06-11,22
2022-06-12,24
2022-06-13,26
2022-06-14,28
2022-06-15,30
2022-06-16,32
2022-06-17,34
2022-06-18,36
2022-06-19,38
2022-06-20,36
2022-06-21,34
2022-06-22,32
2022-06-23,30
2022-06-24,28
2022-06-25,26
2022-06-26,24
2022-06-27,22
2022-06-28,20
2022-06-29,18
2022-06-30,16
2022-07-01,18
2022-07-02,20
